Shape,Cut,Color,Clarity,Carat Weight,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Culet,Length,Width,Height,Price,Type,Fluorescence
Oval,,F,VS1,1.07,1.43,62.8,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.18,5.73,3.6,1070,IGI Lab-Grown,None
Heart,,D,VS2,1,1.08,59.7,56,Excellent,Excellent,Slightly Thick to Very Thick,None,6.24,6.77,4.04,4560,GIA,None
Heart,,G,VS2,1.01,1.13,59.9,59,Excellent,Very Good,Slightly Thick to Thick,None,6.14,6.96,4.17,4360,GIA,None
Oval,,E,VS1,1.05,1.44,60.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.26,5.73,3.49,1030,IGI Lab-Grown,None
Round,Excellent,F,VS1,1.58,1,62.5,56,Excellent,Excellent,Medium to Slightly Thick,None,7.42,7.45,4.64,1730,GIA Lab-Grown,
Oval,,D,VS1,1.03,1.42,62.7,58,Excellent,Excellent,Medium to Slightly Thick,None,8.09,5.69,3.56,1090,GIA Lab-Grown,
Radiant,,D,VVS1,1.02,1.45,64.7,67,Excellent,Excellent,Slightly Thick to Thick,None,7.1,4.89,3.17,4760,GIA,Medium
Pear,,G,VVS1,1,1.48,63.6,60,Excellent,Very Good,Slightly Thick to Very Thick,None,8.21,5.55,3.53,4900,GIA,None
Marquise,,G,VS1,1.5,1.96,62.7,59,Excellent,Excellent,Slightly Thick to Very Thick,None,11.73,5.97,3.74,11840,GIA,Faint
Round,Excellent,D,VS1,1.53,1,60.3,59,Excellent,Excellent,Medium to Slightly Thick,None,7.46,7.48,4.5,1860,GIA Lab-Grown,
Round,Ideal,E,VS1,1.59,1.01,61,58,Excellent,Excellent,Medium,Pointed,7.51,7.55,4.59,1850,IGI Lab-Grown,None
Radiant,,E,VVS2,1.1,1.25,66.3,64,Excellent,Excellent,Medium,Pointed,6.8,5.43,3.6,1250,IGI Lab-Grown,None
Oval,,H,VS2,1.03,1.35,65.6,58,Excellent,Excellent,Very Thick to Extremely Thick,None,7.32,5.43,3.56,3180,GIA,None
Marquise,,D,VS1,1,1.82,60.8,57,Very Good,Very Good,Slightly Thick to Thick,None,9.84,5.42,3.29,7650,GIA,Faint
Pear,,D,VS2,1.01,1.5,64.8,62,Excellent,Very Good,Slightly Thick to Very Thick,None,8.33,5.56,3.6,4770,GIA,None
Heart,,E,VS2,1,1.17,57.3,61,Excellent,Excellent,Medium to Thick,None,6.06,7.1,4.07,4610,GIA,None
Pear,,E,VS1,1.1,1.57,60.9,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.18,5.83,3.55,1100,IGI Lab-Grown,None
Pear,,G,VVS1,1,1.54,65.1,55,Excellent,Excellent,Very Thick,None,8.41,5.46,3.55,4750,GIA,Faint
Marquise,,D,VS1,1.08,2.01,64.3,55,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.63,5.29,3.4,1180,IGI Lab-Grown,None
Heart,,H,VS2,1.65,1.01,48.1,57,Very Good,Very Good,Very Thick to Extremely Thick,Very Small,8.06,8,3.85,10540,GIA,Medium
Pear,,E,VS1,1.06,1.59,61.5,58,Excellent,Excellent,Slightly Thick to Thick,None,9.06,5.71,3.51,1070,GIA Lab-Grown,
Princess,Ideal,G,VVS1,1.01,1,72.7,72,Excellent,Excellent,Thick,None,5.43,5.43,3.94,3620,GIA,None
Round,Very Good,H,VS1,1,1.01,64.9,56,Excellent,Very Good,Slightly Thick to Thick,None,6.17,6.25,4.03,3620,GIA,None
Heart,,D,VVS2,1.54,1.1,59.4,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.25,7.94,4.72,2600,IGI Lab-Grown,None
Pear,,D,VS2,1.01,1.53,64.2,56,Excellent,Excellent,Thick to Very Thick,None,8.36,5.48,3.52,4390,GIA,None
Marquise,,F,VS1,1.5,1.85,60.5,65,Excellent,Excellent,Slightly Thick to Thick,None,11.55,6.26,3.78,13420,GIA,Medium
Pear,,E,VS1,1.04,1.63,62.2,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.2,5.64,3.51,1050,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,63.2,56,Excellent,Excellent,Medium to Slightly Thick,None,6.32,6.36,4.01,4010,GIA,None
Radiant,,E,VS1,1.2,1.46,65.6,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.63,5.21,3.42,1160,IGI Lab-Grown,None
Princess,Ideal,E,VS2,1.01,1,72.8,71,Excellent,Very Good,Medium to Slightly Thick,None,5.51,5.5,4,4180,GIA,None
Oval,,E,VS1,1.07,1.48,61.8,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.49,5.74,3.55,1040,IGI Lab-Grown,None
Marquise,,G,VVS2,1.7,1.92,62.6,65,Excellent,Very Good,Slightly Thick to Thick,None,12.05,6.29,3.94,1040,GIA,None
Princess,Ideal,G,VVS2,1.02,1.02,72.5,71,Excellent,Very Good,Slightly Thick,None,5.62,5.49,3.98,4230,GIA,None
Pear,,G,VS1,1,1.65,61.4,62,Excellent,Very Good,Medium to Very Thick,None,8.88,5.37,3.3,3480,GIA,Medium
Round,Ideal,D,VS1,1.57,1.01,61,59,Excellent,Excellent,Medium,Pointed,7.44,7.51,4.57,1840,IGI Lab-Grown,None
Oval,,F,VS1,1.09,1.42,61.1,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.38,5.92,3.62,1080,IGI Lab-Grown,None
Radiant,,E,VS1,1.05,1.25,67,62,Excellent,Excellent,Medium,Pointed,6.69,5.36,3.59,1040,IGI Lab-Grown,None
Pear,,D,VS1,1.04,1.6,60,58,Excellent,Very Good,Medium to Thick,None,9.16,5.74,3.45,1080,GIA Lab-Grown,
Emerald,,H,VS2,1.01,1.51,66.8,65,Excellent,Excellent,Slightly Thick to Thick,None,7.14,4.72,3.15,2680,GIA,None
Oval,,G,VVS2,1,1.35,60.6,65,Excellent,Excellent,Medium to Thick,None,7.78,5.77,3.5,4970,GIA,Medium
Pear,,F,VS1,1.07,1.79,63.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.79,5.47,3.48,1060,IGI Lab-Grown,None
Marquise,,D,IF,1,2.06,62,63,Excellent,Excellent,Slightly Thick to Thick,None,10.69,5.2,3.22,8300,GIA,None
Princess,Ideal,D,VS1,1.05,1.02,71.8,67,Very Good,Excellent,Slightly Thick to Thick,None,5.68,5.58,4,1080,GIA Lab-Grown,
Emerald,,H,VVS2,1,1.31,72.5,63,Excellent,Very Good,Slightly Thick to Thick,None,6.2,4.74,3.44,2650,GIA,None
Pear,,E,VS1,1.03,1.61,62.7,58,Excellent,Excellent,Thin to Medium,Pointed,9.13,5.66,3.55,1040,IGI Lab-Grown,None
Heart,,E,VS2,1.01,1.11,59.7,62,Excellent,Excellent,Medium to Thick,None,6.27,6.97,4.16,3370,GIA,Medium
Marquise,,E,VS1,1.08,1.96,63.5,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.64,5.42,3.44,1090,IGI Lab-Grown,None
Oval,,F,VS1,1.01,1.41,63.7,62,Excellent,Very Good,Slightly Thick to Very Thick,None,7.91,5.62,3.58,4840,GIA,None
Heart,,E,VS1,1.51,1.13,57.8,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.08,7.99,4.62,1940,IGI Lab-Grown,None
Pear,,E,VS2,1,1.48,64.9,56,Excellent,Very Good,Medium to Very Thick,None,8.25,5.59,3.63,4400,GIA,None
Round,Excellent,D,VS1,1.58,1,61.7,56,Excellent,Excellent,Medium to Slightly Thick,None,7.47,7.49,4.61,1850,GIA Lab-Grown,
Radiant,,F,VS1,1.19,1.45,68,64,Excellent,Excellent,Medium,Pointed,7.46,5.13,3.49,1220,IGI Lab-Grown,None
Pear,,H,VS2,1.01,1.59,64,62,Very Good,Very Good,Thick to Very Thick,None,8.77,5.5,3.52,3500,GIA,Faint
Oval,,D,VVS1,1.02,1.51,60.5,56,Excellent,Very Good,Medium to Thick,None,8.52,5.66,3.42,1680,GIA Lab-Grown,
Oval,,E,VS1,1.08,1.44,61.7,60,Excellent,Excellent,Slightly Thick to Thick,None,8.34,5.79,3.57,1050,GIA Lab-Grown,
Radiant,,H,VS1,1.01,1.3,66.5,68,Excellent,Excellent,Medium to Slightly Thick,None,6.8,5.23,3.48,3210,GIA,None
Princess,Ideal,F,VS2,1.01,1.01,73.7,71,Excellent,Very Good,Slightly Thick to Thick,None,5.36,5.3,3.91,3340,GIA,None
Marquise,,D,VS1,1.01,1.78,60,56,Very Good,Good,Thick to Extremely Thick,None,9.67,5.44,3.26,7550,GIA,None
Heart,,H,VS1,1.01,1.14,58.6,58,Excellent,Excellent,Medium to Very Thick,None,6.11,6.97,4.08,3220,GIA,None
Oval,,F,VS2,1.01,1.41,64.7,57,Excellent,Very Good,Medium to Very Thick,None,7.77,5.52,3.57,4710,GIA,Faint
Cushion,Ideal,D,VS1,1.91,1.02,66.2,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.28,7.13,4.72,5310,IGI Lab-Grown,None
Princess,Ideal,E,VS1,1.05,1.01,71.9,66,Excellent,Excellent,Slightly Thick to Thick,None,5.6,5.56,3.99,1040,GIA Lab-Grown,
Radiant,,E,VS1,1.01,1.17,71.7,69,Very Good,Very Good,Very Thick,None,5.9,5.04,3.61,4050,GIA,Medium
Marquise,,D,VS1,1.04,2,64.2,57,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.48,5.25,3.37,1140,IGI Lab-Grown,None
Princess,Ideal,E,VVS2,1.02,1.01,73.6,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,5.35,5.31,3.91,1190,IGI Lab-Grown,None
Princess,Ideal,E,VS1,1.03,1.01,71.5,71,Excellent,Excellent,Slightly Thick,None,5.56,5.53,3.95,3620,GIA,Faint
Radiant,,D,VS2,1.03,1.08,72.9,70,Very Good,Good,Thick,None,5.95,5.53,4.03,4940,GIA,None
Round,Ideal,E,VS1,1.59,1.01,60.6,58,Excellent,Excellent,Medium,Pointed,7.52,7.57,4.58,1850,IGI Lab-Grown,None
Round,Excellent,H,VS1,1,1.01,63.2,58,Excellent,Excellent,Medium to Slightly Thick,None,6.3,6.35,4,4140,GIA,None
Heart,,D,IF,1,1.21,61.1,56,Excellent,Excellent,Slightly Thick to Very Thick,None,5.69,6.91,4.22,9530,GIA,None
Radiant,,D,VS1,1.09,1.41,68.8,68,Excellent,Excellent,Thin,Pointed,7.38,5.25,3.61,1170,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.55,1,60.7,58,Excellent,Excellent,Medium,None,7.47,7.5,4.54,1770,GIA Lab-Grown,
Marquise,,H,VS2,1,1.85,62.8,64,Excellent,Excellent,Medium to Thick,None,9.78,5.29,3.32,5160,GIA,None
Oval,,H,VS2,1.02,1.42,61.7,58,Excellent,Very Good,Slightly Thick to Very Thick,None,7.89,5.57,3.43,3790,GIA,None
Radiant,,F,VS1,1.02,1.46,68,61,Excellent,Excellent,Thin to Slightly Thick,Pointed,7.14,4.9,3.33,1060,IGI Lab-Grown,None
Heart,,D,VVS2,1.58,1.12,54.5,58,Excellent,Excellent,Thin to Medium,Pointed,7.43,8.29,4.52,2670,IGI Lab-Grown,None
Oval,,E,VS1,1.08,1.5,63.1,60,Excellent,Excellent,Slightly Thick,Pointed,8.53,5.69,3.59,1050,IGI Lab-Grown,None
Heart,,D,VS2,1.2,1.19,59.1,58,Excellent,Excellent,Thin to Thick,None,6.27,7.43,4.39,5470,GIA,None
Pear,,D,VS2,1,1.65,57.4,62,Very Good,Good,Thin to Extremely Thick,None,9.03,5.48,3.15,4640,GIA,None
Radiant,,H,VS1,1.01,1.3,67.7,66,Excellent,Excellent,Slightly Thick to Thick,None,6.53,5.01,3.39,3040,GIA,None
Marquise,,E,VS2,1,2.36,65.9,63,Excellent,Very Good,Slightly Thick to Very Thick,None,11.36,4.82,3.18,4910,GIA,None
Oval,,E,VS1,1.09,1.44,60.5,59,Excellent,Excellent,Medium,Pointed,8.44,5.87,3.55,1060,IGI Lab-Grown,None
Pear,,E,VVS2,1.02,1.5,63.4,60,Excellent,Excellent,Slightly Thick to Thick,None,8.41,5.6,3.55,4500,GIA,Medium
Oval,,E,VS1,1.07,1.4,61.7,56,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.21,5.85,3.61,1040,IGI Lab-Grown,None
Pear,,D,VS1,1,1.58,61.4,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.86,5.59,3.43,1090,IGI Lab-Grown,None
Marquise,,D,VS1,1.04,2.04,63.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.69,5.24,3.34,1140,IGI Lab-Grown,None
Round,Excellent,H,VS2,1.01,1.01,62.8,58,Excellent,Excellent,Medium to Slightly Thick,None,6.34,6.39,4,3560,GIA,None
Radiant,,E,VS1,1.16,1.49,67.8,65,Excellent,Excellent,Slightly Thick,Pointed,7.52,5.06,3.43,1140,IGI Lab-Grown,None
Princess,Ideal,F,VVS2,1.09,1,72.7,67,Excellent,Excellent,Medium,Pointed,5.67,5.67,4.12,1210,IGI Lab-Grown,None
Marquise,,E,IF,2.2,2.04,59.8,58,Excellent,Very Good,Slightly Thick to Very Thick,None,13.7,6.7,4.01,37010,GIA,None
Marquise,,D,VS1,1.1,1.99,64.6,59,Excellent,Very Good,Medium to Slightly Thick,Pointed,10.69,5.36,3.46,1140,IGI Lab-Grown,None
Heart,,D,VS2,1.51,1.21,61.8,63,Excellent,Very Good,Slightly Thick to Very Thick,None,6.53,7.88,4.87,9070,GIA,None
Marquise,,H,VS2,1,1.8,64.6,61,Excellent,Very Good,Medium to Very Thick,None,9.51,5.29,3.42,4470,GIA,None
Round,Excellent,G,VS2,1,1.01,61.5,61,Excellent,Very Good,Slightly Thick,None,6.31,6.4,3.91,4070,GIA,None
Round,Excellent,E,VS1,1.52,1,60.8,59,Excellent,Excellent,Slightly Thick,None,7.39,7.41,4.5,1730,GIA Lab-Grown,
Princess,Ideal,E,VS2,1.02,1.01,71.2,68,Excellent,Excellent,Slightly Thick to Thick,None,5.46,5.43,3.87,3230,GIA,None
Round,Excellent,G,VS2,1.01,1,61.8,58,Excellent,Excellent,Medium to Slightly Thick,None,6.42,6.44,3.97,3230,GIA,Faint
Round,Ideal,E,VS1,1.59,1.01,61.2,58,Excellent,Excellent,Medium,Pointed,7.5,7.54,4.6,1850,IGI Lab-Grown,None
Round,Ideal,E,VS1,1.56,1.01,61.1,57,Excellent,Excellent,Medium,Pointed,7.47,7.52,4.58,1810,IGI Lab-Grown,None
Oval,,G,VS1,1.01,1.4,63.7,62,Excellent,Excellent,Slightly Thick to Thick,None,7.71,5.5,3.5,4550,GIA,Faint
Oval,,E,VS1,1.1,1.49,58.4,66,Excellent,Excellent,Thin to Medium,Pointed,8.7,5.84,3.41,1070,IGI Lab-Grown,None
Cushion Modified,Ideal,D,VVS1,2.64,1.01,64.2,59,Excellent,Excellent,Slightly Thick to Thick,None,7.88,7.8,5.01,6250,GIA Lab-Grown,
Heart,,G,VVS1,1,1.17,59.4,61,Excellent,Excellent,Medium to Thick,None,6.02,7.06,4.19,4310,GIA,Medium
Round,Excellent,E,VS1,1.52,1,61.8,57,Excellent,Excellent,Medium to Slightly Thick,None,7.35,7.38,4.55,4310,GIA Lab-Grown,
Pear,,F,VVS2,1.01,1.5,65,57,Excellent,Very Good,Very Thick to Extremely Thick,None,8.23,5.47,3.56,4040,GIA,Faint
Oval,,D,VS1,1,1.33,64.3,58,Excellent,Very Good,Thin to Very Thick,None,7.46,5.59,3.59,5170,GIA,None
Oval,,F,VS2,1.01,1.35,64.2,62,Excellent,Very Good,Slightly Thick to Very Thick,None,7.44,5.52,3.54,4690,GIA,None
Princess,Ideal,G,VS1,1.02,1.01,71.4,70,Excellent,Excellent,Medium to Slightly Thick,None,5.62,5.58,3.98,3460,GIA,None
Radiant,,D,VS1,1.05,1.44,65.6,64,Excellent,Excellent,Medium to Thick,None,7.29,5.07,3.33,1120,GIA Lab-Grown,
Princess,Ideal,H,VVS2,1,1.01,74.3,73,Excellent,Excellent,Slightly Thick,None,5.47,5.43,4.03,2970,GIA,None
Oval,,H,VVS1,1,1.37,65.6,59,Excellent,Very Good,Slightly Thick to Thick,None,7.6,5.54,3.63,4430,GIA,Medium
Oval,,H,VS1,1.01,1.36,59.9,62,Excellent,Very Good,Thick to Very Thick,None,7.64,5.63,3.37,3780,GIA,None
Pear,,E,VS2,1.01,1.56,64.2,56,Excellent,Excellent,Slightly Thick to Very Thick,None,8.61,5.53,3.55,3430,GIA,Medium
Emerald,,G,VS1,1.02,1.39,68.4,64,Very Good,Very Good,Medium,None,6.72,4.84,3.31,2930,GIA,None
Oval,,E,VS1,1.07,1.44,61.6,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.32,5.78,3.56,1040,IGI Lab-Grown,None
Pear,,F,VS1,1.04,1.61,62.2,60,Excellent,Excellent,Medium to Thick,None,9.06,5.61,3.49,1040,GIA Lab-Grown,
Radiant,,G,VS1,1.02,1.23,68.1,69,Very Good,Very Good,Slightly Thick to Thick,None,6.57,5.33,3.63,4100,GIA,None
Heart,,F,VS1,3.43,1.12,55.1,58,Very Good,Very Good,Slightly Thick to Thick,None,9.45,10.55,5.82,5520,GIA Lab-Grown,
Radiant,,H,VVS2,1.02,1.09,65.3,67,Excellent,Very Good,Thick to Extremely Thick,None,5.92,5.42,3.54,3720,GIA,None
Round,Excellent,H,VS2,1,1,60.5,61,Excellent,Excellent,Medium to Slightly Thick,None,6.44,6.47,3.9,4070,GIA,None
Round,Excellent,H,VS1,1.01,1.01,62.4,57,Excellent,Excellent,Medium to Slightly Thick,None,6.36,6.4,3.98,3850,GIA,Faint
Marquise,,F,IF,1.12,2.21,62.1,61,Excellent,Excellent,Slightly Thick to Thick,None,11.65,5.26,3.27,7170,GIA,Medium
Heart,,F,VS1,1.95,1.18,58.6,57,Excellent,Very Good,Thin to Thick,None,7.53,8.87,5.19,2670,GIA Lab-Grown,
Princess,Ideal,F,VS2,1.03,1.02,72,71,Excellent,Excellent,Thick to Very Thick,None,5.51,5.41,3.9,3020,GIA,None
Radiant,,H,VVS1,1.02,1.3,67.8,65,Excellent,Very Good,Slightly Thick to Thick,None,6.53,5.03,3.41,3340,GIA,None
Heart,,E,VVS2,3.15,1.11,61.1,61,Excellent,Excellent,Slightly Thick to Very Thick,None,8.96,9.98,6.1,7110,GIA Lab-Grown,
Round,Very Good,H,VS2,1,1.01,64.5,58,Excellent,Very Good,Slightly Thick to Thick,None,6.16,6.24,4,3340,GIA,None
Round,Excellent,H,VS2,1.03,1.01,61.7,59,Excellent,Excellent,Medium to Slightly Thick,None,6.45,6.51,4,4090,GIA,None
Marquise,,D,VS2,1.71,2.1,58.2,60,Excellent,Excellent,Medium to Thick,None,12.91,6.15,3.58,4090,GIA,None
Oval,,F,VVS1,1,1.35,63.5,65,Excellent,Very Good,Slightly Thick to Thick,None,7.71,5.7,3.62,5000,GIA,Faint
Radiant,,H,VS1,1.03,1.26,68.8,67,Excellent,Excellent,Slightly Thick to Thick,None,6.36,5.05,3.48,3870,GIA,None
Radiant,,H,VS2,1.02,1.26,69.6,62,Very Good,Very Good,Slightly Thick to Thick,None,6.31,5.02,3.49,3400,GIA,Faint
Radiant,,G,VVS2,1.01,1.26,69.9,70,Excellent,Very Good,Medium to Thick,None,6.23,4.96,3.47,3520,GIA,None
Round,Excellent,H,VS2,1.05,1,62.3,57,Excellent,Excellent,Medium to Slightly Thick,None,6.48,6.51,4.05,4080,GIA,Medium
Radiant,,H,VS1,1,1.27,67.8,66,Very Good,Very Good,Thin to Medium,None,6.39,5.02,3.41,3130,GIA,None
Pear,,D,VS1,1.01,1.63,61.3,62,Excellent,Excellent,Medium to Thick,Pointed,8.98,5.51,3.38,1100,IGI Lab-Grown,None
Oval,,E,VS1,1.07,1.42,62.9,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,8.25,5.8,3.65,1040,IGI Lab-Grown,None
Round,Excellent,H,VVS2,1.01,1,61.2,58,Excellent,Excellent,Medium to Slightly Thick,None,6.42,6.44,3.94,4010,GIA,Medium
Radiant,,G,VS1,1.01,1.3,65.1,69,Excellent,Excellent,Thick to Very Thick,None,6.61,5.09,3.31,5530,GIA,None
Marquise,,D,VVS2,1.08,2.17,62,59,Excellent,Excellent,Medium to Thick,None,11.45,5.27,3.27,1390,GIA Lab-Grown,
Emerald,,H,VS2,1,1.31,72.3,62,Excellent,Excellent,Thick to Very Thick,None,6.18,4.73,3.42,2240,GIA,None
Marquise,,E,VS1,1.33,1.96,64.2,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,11.3,5.76,3.7,1380,IGI Lab-Grown,None
Pear,,H,VVS2,1.01,1.63,60.7,60,Excellent,Excellent,Medium to Thick,None,9.2,5.66,3.44,4150,GIA,Faint
Round,Excellent,F,VS1,1.55,1.01,60.7,60,Excellent,Excellent,Medium to Slightly Thick,None,7.45,7.5,4.54,1820,GIA Lab-Grown,
Round,Very Good,G,VS2,1.01,1.01,63.9,56,Excellent,Very Good,Slightly Thick to Thick,None,6.19,6.27,3.98,3800,GIA,Faint
Radiant,,F,VS1,1.05,1.45,67.9,65,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.22,4.99,3.39,1080,IGI Lab-Grown,None
Round,Excellent,H,VS2,1,1.01,62.2,61,Excellent,Excellent,Medium to Slightly Thick,None,6.33,6.38,3.96,3730,GIA,None
Radiant,,E,VVS2,1.04,1.46,66.2,66,Excellent,Excellent,Medium to Thick,None,7.36,5.04,3.34,1200,GIA Lab-Grown,
Marquise,,D,VS1,1.16,2.08,63.8,56,Excellent,Excellent,Thick to Very Thick,None,11.13,5.36,3.42,1260,GIA Lab-Grown,
Cushion Modified,Ideal,F,VS1,2.09,1.01,67.3,61,Excellent,Excellent,Slightly Thick to Thick,None,7.4,7.33,4.94,4980,GIA Lab-Grown,
Marquise,,G,VVS1,1.01,2.13,63,58,Excellent,Excellent,Thick to Very Thick,None,10.84,5.1,3.21,4720,GIA,Medium
Princess,Ideal,E,VS1,1.03,1.04,69.4,73,Excellent,Excellent,Medium,Pointed,5.77,5.56,3.86,1030,IGI Lab-Grown,None
Round,Excellent,E,VS1,1.58,1.01,61.1,59,Excellent,Excellent,Medium to Slightly Thick,None,7.46,7.5,4.57,1800,GIA Lab-Grown,
Emerald,,H,VVS1,1,1.33,69.3,66,Excellent,Excellent,Thick to Very Thick,None,6.31,4.76,3.29,2590,GIA,Medium
Round,Excellent,D,VS1,1.52,1,61.3,58,Excellent,Excellent,Medium to Slightly Thick,None,7.36,7.39,4.52,1780,GIA Lab-Grown,
Radiant,,G,VS1,1.01,1.34,67.8,66,Excellent,Very Good,Slightly Thick to Thick,None,6.8,5.07,3.43,3590,GIA,Faint
Heart,,D,VVS2,1.01,1.11,59.9,61,Excellent,Excellent,Slightly Thick to Very Thick,None,6.19,6.84,4.1,5660,GIA,None
Cushion Modified,Ideal,E,VS1,1.82,1,68.6,61,Excellent,Very Good,Thick to Very Thick,None,7,6.98,4.79,2600,GIA Lab-Grown,
Pear,,E,VS1,1.09,1.62,62.3,61,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.26,5.71,3.56,1100,IGI Lab-Grown,None
Radiant,,D,VS1,1.16,1.48,66.7,62,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.58,5.13,3.42,1230,IGI Lab-Grown,None
Radiant,,D,VS1,1.21,1.26,65.4,66,Excellent,Excellent,Slightly Thick,None,7.19,5.71,3.73,1280,GIA Lab-Grown,
Radiant,,D,VS1,1.01,1.41,67.8,65,Excellent,Excellent,Medium to Slightly Thick,None,7.22,5.13,3.48,1080,GIA Lab-Grown,
Marquise,,H,VS1,1.01,1.88,63.8,61,Excellent,Very Good,Very Thin to Very Thick,None,9.7,5.17,3.3,4760,GIA,None
Radiant,,E,VS1,1.01,1.27,68.7,67,Excellent,Very Good,Slightly Thick to Thick,None,6.42,5.07,3.48,3420,GIA,None
Princess,Ideal,D,VS1,1.09,1.01,72.3,68,Excellent,Excellent,Thin,Pointed,5.62,5.59,4.04,1170,IGI Lab-Grown,None
Marquise,,D,VVS2,1.04,1.94,62.7,58,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.35,5.33,3.34,1330,IGI Lab-Grown,None
Radiant,,D,VS1,1.02,1.32,63.7,60,Excellent,Excellent,Medium,Pointed,6.91,5.23,3.33,1090,IGI Lab-Grown,None
Pear,,E,VS1,1.02,1.65,62.6,58,Excellent,Excellent,Medium to Slightly Thick,None,9.11,5.53,3.46,1030,GIA Lab-Grown,
Radiant,,E,VS1,1.26,1.42,64.9,64,Excellent,Excellent,Medium to Slightly Thick,Pointed,7.73,5.44,3.53,1220,IGI Lab-Grown,None
Round,Very Good,H,VS2,1.01,1.02,61.3,63,Excellent,Very Good,Slightly Thick to Thick,None,6.34,6.44,3.92,3900,GIA,Faint
Heart,,G,VVS2,1.01,1.13,58.3,56,Excellent,Excellent,Slightly Thick to Thick,None,6.2,7.01,4.09,4230,GIA,Faint
Radiant,,E,VS1,1.06,1.48,65.1,64,Excellent,Excellent,Slightly Thick,Pointed,7.37,4.99,3.25,1050,IGI Lab-Grown,None
Radiant,,E,VVS1,1.02,1.43,67,66,Excellent,Excellent,Slightly Thick to Thick,None,7.16,5.01,3.36,5300,GIA,None
Pear,,F,VS1,1.03,1.78,64.7,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.48,5.33,3.45,1030,IGI Lab-Grown,None
Pear,,E,VS1,1.05,1.59,61.4,59,Excellent,Excellent,Thin to Medium,Pointed,9.09,5.72,3.51,1060,IGI Lab-Grown,None
Princess,Ideal,E,VVS2,1.02,1.02,71.9,69,Excellent,Excellent,Slightly Thick,Pointed,5.46,5.34,3.84,1190,IGI Lab-Grown,None
Pear,,E,VS1,1.1,1.62,60.5,62,Excellent,Very Good,Slightly Thick to Thick,None,9.38,5.8,3.51,1050,GIA Lab-Grown,
Marquise,,E,VS1,1.07,1.94,63.7,56,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.43,5.37,3.42,1080,IGI Lab-Grown,None
Heart,,F,VVS2,3.01,1.07,58.1,56,Excellent,Very Good,Medium to Extremely Thick,None,9.22,9.88,5.74,5630,GIA Lab-Grown,
Heart,,E,VVS2,3.3,1.1,58.3,57,Excellent,Excellent,Slightly Thick to Extremely Thick,None,9.27,10.19,5.95,7540,GIA Lab-Grown,
Heart,,H,VVS2,1.71,1.07,63.1,59,Very Good,Very Good,Slightly Thick to Very Thick,None,7.33,7.84,4.95,9410,GIA,Faint
Pear,,F,VS1,1.05,1.59,62.5,62,Excellent,Excellent,Thin to Medium,Pointed,8.97,5.63,3.52,1040,IGI Lab-Grown,None
Pear,,D,VS1,1.01,1.61,62.7,59,Excellent,Excellent,Medium to Slightly Thick,Pointed,9.03,5.61,3.52,1100,IGI Lab-Grown,None
Round,Very Good,H,VVS2,1,1.01,63.8,57,Excellent,Very Good,Slightly Thick to Thick,None,6.18,6.27,3.97,3400,GIA,Faint
Marquise,,E,VVS2,1.08,2.02,61.2,58,Excellent,Excellent,Medium to Slightly Thick,None,10.95,5.43,3.32,1260,GIA Lab-Grown,
Round,Excellent,F,VS1,1.56,1.01,61.5,60,Excellent,Excellent,Medium to Slightly Thick,None,7.41,7.45,4.57,1830,GIA Lab-Grown,
Marquise,,D,VS1,1.09,2.07,63.6,60,Excellent,Excellent,Medium to Slightly Thick,Pointed,10.92,5.27,3.35,1190,IGI Lab-Grown,None
Heart,,G,VVS1,1.01,1.2,62.2,56,Excellent,Excellent,Thick to Very Thick,None,5.74,6.86,4.27,5060,GIA,None
